seller_id,category_en,customer_state,n,avg_price,avg_freight,avg_total,median_days,neg_rate
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,MG,1,594.0,25.07,619.07,13.9,0.0
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,PE,1,400.0,50.24,450.24,27.19,0.0
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,RJ,1,594.0,43.49,637.49,20.23,0.0
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,RN,1,110.0,21.34,131.34,22.57,0.0
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,SP,4,772.5,63.23,835.73,24.47,25.0
014c0679dd340a0e338872e7ec85666a,signaling_and_security,MS,1,358.0,24.22,382.22,14.22,0.0
014c0679dd340a0e338872e7ec85666a,signaling_and_security,SP,2,349.0,24.54,373.54,15.71,50.0
014d9a685fd57276679edd00e07089e5,cool_stuff,PR,1,69.99,1.4,71.39,11.33,0.0
014d9a685fd57276679edd00e07089e5,cool_stuff,SP,1,69.99,2.66,72.65,6.01,100.0
014d9a685fd57276679edd00e07089e5,stationery,MT,1,79.99,37.47,117.46,8.13,0.0
014d9a685fd57276679edd00e07089e5,stationery,PR,2,43.99,10.67,54.66,5.47,0.0
014d9a685fd57276679edd00e07089e5,stationery,RS,1,79.99,18.66,98.65,11.92,0.0
014d9a685fd57276679edd00e07089e5,stationery,SP,4,56.99,13.6,70.59,9.66,0.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,DF,1,179.9,49.79,229.69,14.08,0.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,MG,7,117.33,29.69,147.01,10.84,14.29
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,PE,1,125.9,33.33,159.23,18.05,0.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,RJ,4,116.9,38.59,155.49,25.81,50.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,RS,1,79.9,23.14,103.04,8.36,0.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,SC,1,195.9,62.11,258.01,21.09,0.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,SP,21,123.0,33.69,156.68,8.78,14.29
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,CE,1,117.79,34.62,152.41,25.01,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,DF,1,158.7,16.87,175.57,5.07,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,ES,1,158.7,36.43,195.13,13.28,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,GO,1,158.7,14.26,172.96,4.29,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,MG,3,133.83,17.37,151.2,7.94,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,PB,1,158.7,36.43,195.13,25.53,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,PI,1,121.35,34.65,156.0,11.91,0.0
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,RJ,1,117.79,26.1,143.89,10.14,0.0
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,ES,1,29.4,16.11,45.51,22.04,0.0
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,MT,1,29.4,22.28,51.68,27.59,0.0
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,RS,2,29.4,17.72,47.11,20.78,50.0
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,SP,5,56.42,12.71,69.13,5.96,0.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,BA,1,59.9,22.35,82.25,10.58,0.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,MG,3,81.9,18.21,100.11,8.93,0.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,PR,2,114.9,14.58,129.48,10.81,0.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,RS,1,59.9,15.63,75.53,8.46,0.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,SP,11,66.0,15.86,81.86,7.73,18.18
01cf7e3d21494c41fb86034f2e714fa1,baby,MG,1,149.9,47.0,196.9,9.85,0.0
01cf7e3d21494c41fb86034f2e714fa1,baby,PA,1,132.68,37.89,170.57,8.89,0.0
01cf7e3d21494c41fb86034f2e714fa1,baby,RJ,1,132.68,24.75,157.43,7.13,0.0
01cf7e3d21494c41fb86034f2e714fa1,bed_bath_table,BA,1,125.9,38.43,164.33,19.42,100.0
01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,ES,1,69.9,19.26,89.16,9.02,0.0
01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,SP,5,84.71,16.25,100.96,7.68,0.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances,PR,1,629.9,117.35,747.25,8.21,0.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,MG,3,286.97,66.98,353.95,11.29,0.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,MT,1,399.9,77.23,477.13,42.6,100.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,PR,1,204.0,36.49,240.49,8.44,0.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,RJ,2,304.9,43.97,348.87,12.85,0.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,SP,5,221.0,60.91,281.91,9.77,20.0
01cf7e3d21494c41fb86034f2e714fa1,housewares,ES,2,90.59,27.48,118.06,9.77,0.0
01cf7e3d21494c41fb86034f2e714fa1,housewares,MG,3,96.57,19.92,116.48,10.79,0.0
01cf7e3d21494c41fb86034f2e714fa1,housewares,RJ,3,96.57,19.92,116.48,15.32,33.33
01cf7e3d21494c41fb86034f2e714fa1,housewares,RS,1,99.9,17.95,117.85,10.78,0.0
01cf7e3d21494c41fb86034f2e714fa1,housewares,SP,5,88.3,17.27,105.57,9.11,0.0
01cf7e3d21494c41fb86034f2e714fa1,small_appliances,MG,1,199.0,18.0,217.0,14.11,0.0
01cf7e3d21494c41fb86034f2e714fa1,small_appliances,SP,1,549.9,30.17,580.07,8.26,0.0
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,RJ,1,339.0,17.12,356.12,2.94,0.0
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,RS,1,99.99,15.45,115.44,13.01,0.0
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,SP,3,342.33,11.72,354.05,5.08,0.0
01fd077212124329bac32490e8ef80d9,baby,MG,1,13.0,18.23,31.23,2.45,0.0
01fd077212124329bac32490e8ef80d9,baby,SP,1,13.0,12.79,25.79,7.24,0.0
01fd077212124329bac32490e8ef80d9,construction_tools_construction,SP,1,17.0,12.79,29.79,8.2,0.0
01fd077212124329bac32490e8ef80d9,garden_tools,ES,1,17.0,18.23,35.23,27.32,100.0
01fd077212124329bac32490e8ef80d9,garden_tools,RJ,1,17.0,18.23,35.23,7.32,0.0
01fd077212124329bac32490e8ef80d9,garden_tools,RS,1,17.0,26.41,43.41,16.02,100.0
01fd077212124329bac32490e8ef80d9,garden_tools,SP,2,43.0,12.86,55.86,9.99,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,DF,1,38.0,18.37,56.37,7.11,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,ES,1,35.0,18.23,53.23,15.2,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,MG,1,35.0,18.35,53.35,6.01,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,PR,1,38.0,18.37,56.37,7.11,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,RJ,1,38.0,18.37,56.37,9.93,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,SC,2,38.0,18.37,56.37,6.96,0.0
01fd077212124329bac32490e8ef80d9,health_beauty,SP,6,37.17,12.46,49.63,5.67,33.33
01fd077212124329bac32490e8ef80d9,home_construction,SP,1,12.0,12.79,24.79,7.77,100.0
