seller_state,customer_state,n,mean_days,median_days,p90_days,pct_in_10d
DF,MG,102,9.36,8.25,13.34,63.73
DF,MS,7,14.12,13.84,17.1,0.0
DF,MT,10,14.88,15.19,19.95,30.0
DF,PA,11,20.13,17.63,33.09,0.0
DF,PB,8,20.62,15.88,33.23,12.5
DF,PE,10,14.43,14.54,17.86,20.0
DF,PI,8,20.12,19.11,26.19,0.0
DF,PR,27,12.42,12.02,20.18,37.04
DF,RJ,96,13.98,11.11,20.78,39.58
DF,RN,6,25.51,16.26,47.68,0.0
DF,RS,22,17.74,13.15,35.17,18.18
DF,SC,21,17.96,18.72,25.04,9.52
DF,SE,3,25.75,20.56,37.1,0.0
DF,SP,308,10.83,9.33,17.28,54.55
DF,TO,5,12.65,13.79,14.42,0.0
ES,BA,23,13.09,12.9,15.68,26.09
ES,CE,3,13.24,14.55,15.92,33.33
ES,DF,1,18.29,18.29,18.29,0.0
ES,ES,7,8.48,6.63,15.12,71.43
ES,GO,3,12.95,14.37,15.19,33.33
ES,MA,2,16.13,16.13,18.06,0.0
ES,MG,43,10.72,10.03,14.77,44.19
ES,MT,6,16.06,13.94,22.78,0.0
ES,PA,3,36.64,26.17,54.97,0.0
ES,PE,6,15.96,15.05,20.44,0.0
ES,PI,2,17.96,17.96,21.22,0.0
ES,PR,15,11.47,10.28,16.65,46.67
ES,RJ,59,12.69,10.49,21.25,40.68
ES,RN,2,19.13,19.13,24.04,0.0
ES,RO,1,8.98,8.98,8.98,100.0
ES,RS,18,17.87,17.03,27.01,11.11
ES,SC,12,18.14,14.93,27.76,8.33
ES,SP,100,12.1,10.05,20.43,48.0
ES,TO,2,17.48,17.48,22.04,0.0
GO,AC,1,18.21,18.21,18.21,0.0
GO,AL,6,21.04,21.06,29.67,0.0
GO,AM,2,32.17,32.17,33.85,0.0
GO,AP,1,24.35,24.35,24.35,0.0
GO,BA,8,14.32,13.28,18.95,12.5
GO,CE,12,18.51,15.4,30.64,0.0
GO,DF,28,9.35,8.59,12.35,67.86
GO,ES,5,15.02,13.28,20.56,0.0
GO,GO,31,5.17,4.29,8.71,96.77
GO,MA,9,19.0,17.35,27.38,11.11
GO,MG,83,10.44,9.1,17.66,60.24
GO,MS,8,13.39,14.87,16.95,25.0
GO,MT,9,14.58,15.03,18.45,22.22
GO,PA,10,21.56,18.23,29.29,0.0
GO,PB,7,24.82,25.53,33.91,0.0
GO,PE,10,20.39,18.35,36.26,20.0
GO,PI,2,21.33,21.33,28.86,0.0
GO,PR,9,18.42,15.05,32.5,0.0
GO,RJ,56,14.67,11.4,24.37,41.07
GO,RN,1,12.36,12.36,12.36,0.0
GO,RO,1,18.77,18.77,18.77,0.0
GO,RS,11,17.78,15.09,27.5,9.09
GO,SC,10,18.28,19.62,25.14,20.0
GO,SP,126,10.84,10.06,16.85,49.21
GO,TO,5,11.69,12.4,14.54,20.0
MA,AC,1,15.13,15.13,15.13,0.0
MA,AL,4,30.18,30.82,36.34,0.0
MA,AM,1,15.93,15.93,15.93,0.0
MA,AP,1,28.29,28.29,28.29,0.0
MA,BA,10,21.87,22.54,32.41,0.0
MA,CE,9,13.19,9.77,21.91,55.56
MA,DF,27,16.2,13.98,27.57,7.41
MA,ES,13,28.53,26.88,45.03,0.0
MA,GO,16,21.51,21.04,34.62,6.25
